case_id,audio_path,expected_label,transcript,category,source,voice,delivery_note,duration_seconds,recorded_at
human_20_hesitant_question,audio/human_suite/human_20_hesitant_question.wav,complete,"Before we continue,  what should I look at next?",hesitation_complete,human,,"Pause briefly at the dash, as if gathering your thought, then finish.",6.229,2026-07-29T12:57:34.601Z
human_21_trailing_object,audio/human_suite/human_21_trailing_object.wav,incomplete,Could you tell me about…,trailing_object,human,,Stop as though you are about to name the object. Do not say “dot dot dot”.,4.949,2026-07-29T12:57:54.775Z
human_22_trailing_because,audio/human_suite/human_22_trailing_because.wav,incomplete,I wanted to ask because…,trailing_conjunction,human,,Leave the reason unsaid. Keep the vocal sense that more is coming.,5.461,2026-07-29T12:59:18.068Z
human_23_trailing_determiner,audio/human_suite/human_23_trailing_determiner.wav,incomplete,Tell me about the…,trailing_determiner,human,,Stop before naming the thing you want to hear about.,4.864,2026-07-29T12:59:43.981Z
human_24_trailing_copula,audio/human_suite/human_24_trailing_copula.wav,incomplete,I think the painting is…,trailing_copula,human,,Stop before supplying the description.,5.120,2026-07-29T13:00:23.587Z
human_25_trailing_and,audio/human_suite/human_25_trailing_and.wav,incomplete,And what about…,trailing_conjunction,human,,Sound as though the subject is about to follow.,4.011,2026-07-29T13:00:41.532Z
human_26_conditional_clause,audio/human_suite/human_26_conditional_clause.wav,incomplete,If we move to the next room…,subordinate_clause,human,,Do not provide the result of the condition.,4.523,2026-07-29T13:01:06.940Z
human_27_relative_clause,audio/human_suite/human_27_relative_clause.wav,incomplete,The artist who painted it…,relative_clause,human,,Stop before explaining what the artist did or who they were.,5.120,2026-07-29T13:01:35.637Z
human_28_question_stem,audio/human_suite/human_28_question_stem.wav,incomplete,Could you explain how…,question_stem,human,,Leave the process or event unspecified.,2.987,2026-07-29T13:01:55.169Z
human_29_observation_stem,audio/human_suite/human_29_observation_stem.wav,incomplete,One thing I noticed was…,trailing_copula,human,,Stop before saying what you noticed.,3.669,2026-07-29T13:02:09.386Z
human_30_comparison_stem,audio/human_suite/human_30_comparison_stem.wav,incomplete,It seems as though…,subordinate_clause,human,,Leave the comparison or conclusion unfinished.,2.816,2026-07-29T13:02:26.535Z
human_31_before_clause,audio/human_suite/human_31_before_clause.wav,incomplete,Before we continue…,subordinate_clause,human,,Sound as though a request is about to follow.,3.584,2026-07-29T13:03:58.496Z
human_32_whether_clause,audio/human_suite/human_32_whether_clause.wav,incomplete,I was wondering whether…,question_stem,human,,Stop before stating the alternatives or question.,2.645,2026-07-29T13:04:19.285Z
human_33_reason_clause,audio/human_suite/human_33_reason_clause.wav,incomplete,The reason I asked is…,trailing_copula,human,,Do not supply the reason.,3.669,2026-07-29T13:04:37.719Z
human_34_when_clause,audio/human_suite/human_34_when_clause.wav,incomplete,When the collection first opened…,subordinate_clause,human,,Stop before saying what happened.,3.584,2026-07-29T13:04:53.830Z
human_35_knowledge_stem,audio/human_suite/human_35_knowledge_stem.wav,incomplete,What I really want to know is…,trailing_copula,human,,Leave the desired information unspecified.,4.181,2026-07-29T13:05:12.465Z
human_36_although_clause,audio/human_suite/human_36_although_clause.wav,incomplete,Although the painting looks simple…,subordinate_clause,human,,Stop before completing the contrast.,4.437,2026-07-29T13:05:35.006Z
human_37_about_stem,audio/human_suite/human_37_about_stem.wav,incomplete,Is there anything else about…,trailing_object,human,,Stop before naming the subject.,5.461,2026-07-29T13:05:51.730Z
human_38_if_intention,audio/human_suite/human_38_if_intention.wav,incomplete,So if the artist intended to…,subordinate_clause,human,,Leave both the intended action and its consequence unfinished.,3.755,2026-07-29T13:06:10.125Z
human_39_comparison_clause,audio/human_suite/human_39_comparison_clause.wav,incomplete,Compared with the other works…,subordinate_clause,human,,Stop before making the comparison.,2.987,2026-07-29T13:06:26.787Z
human_40_interest_clause,audio/human_suite/human_40_interest_clause.wav,incomplete,The part that interests me most is…,trailing_copula,human,,Stop before naming the part.,3.755,2026-07-29T13:06:44.130Z
